episode,avg_loss,epsilon,win_rate,learn_steps
50,0.00323,0.9869,0.5,829
100,0.003085,0.9748,0.54,1589
150,0.00212,0.9617,0.48,2416
200,0.002385,0.948,0.4,3284
250,0.002295,0.9363,0.46,4022
300,0.002821,0.9237,0.52,4820
350,0.002492,0.9109,0.38,5626
400,0.002451,0.8991,0.56,6375
450,0.002626,0.8873,0.54,7117
500,0.002465,0.8748,0.62,7906
550,0.002407,0.8622,0.56,8706
600,0.002246,0.85,0.5,9473
650,0.002839,0.8372,0.48,10282
700,0.002692,0.8247,0.52,11073
750,0.002606,0.8121,0.42,11865
800,0.002511,0.799,0.34,12696
850,0.002737,0.7866,0.48,13479
900,0.002359,0.7726,0.3,14360
950,0.002517,0.7608,0.52,15108
1000,0.002828,0.7474,0.52,15954
1050,0.002657,0.7345,0.4,16766
1100,0.002672,0.7223,0.6,17542
1150,0.002804,0.7092,0.48,18365
1200,0.002806,0.6967,0.38,19157
1250,0.002703,0.6848,0.42,19910
1300,0.002595,0.6718,0.42,20726
1350,0.002827,0.6585,0.6,21568
1400,0.002424,0.6454,0.46,22396
1450,0.002673,0.631,0.5,23304
1500,0.002696,0.6176,0.56,24153
1550,0.002897,0.6031,0.56,25066
1600,0.002775,0.589,0.26,25957
1650,0.003083,0.5755,0.4,26812
1700,0.00292,0.5634,0.46,27575
1750,0.002768,0.5513,0.46,28339
1800,0.002691,0.5385,0.46,29149
1850,0.00296,0.5248,0.48,30012
1900,0.003444,0.5115,0.48,30850
1950,0.00277,0.4983,0.42,31685
2000,0.003386,0.4843,0.5,32570
2050,0.002884,0.4725,0.36,33318
2100,0.003038,0.4582,0.4,34216
2150,0.002807,0.4455,0.46,35021
2200,0.003224,0.4316,0.36,35901
2250,0.003302,0.419,0.38,36697
2300,0.002875,0.407,0.34,37450
2350,0.003622,0.3928,0.4,38348
2400,0.003254,0.381,0.38,39094
2450,0.003244,0.368,0.48,39917
2500,0.002742,0.3545,0.4,40768
2550,0.003263,0.3429,0.5,41498
2600,0.003068,0.3296,0.52,42342
2650,0.003324,0.3164,0.5,43176
2700,0.003274,0.3032,0.44,44009
2750,0.003098,0.2902,0.34,44828
2800,0.003243,0.2775,0.36,45634
2850,0.003118,0.2652,0.42,46406
2900,0.003015,0.2523,0.46,47223
2950,0.003015,0.2396,0.32,48026
3000,0.003388,0.2251,0.34,48940
3050,0.003187,0.2112,0.28,49821
3100,0.003181,0.1988,0.4,50603
3150,0.003253,0.1853,0.38,51457
3200,0.00313,0.1719,0.42,52303
3250,0.003326,0.1579,0.24,53185
3300,0.003224,0.1433,0.36,54110
3350,0.003093,0.1304,0.3,54921
3400,0.003333,0.1175,0.32,55737
3450,0.003289,0.1032,0.32,56637
3500,0.002985,0.0907,0.54,57428
3550,0.003624,0.0786,0.38,58193
3600,0.002983,0.0666,0.26,58950
3650,0.003245,0.0527,0.3,59828
3700,0.003497,0.05,0.36,60684
3750,0.002856,0.05,0.3,61456
3800,0.003262,0.05,0.42,62207
3850,0.003361,0.05,0.42,63047
3900,0.002986,0.05,0.44,63855
3950,0.002777,0.05,0.28,64622
4000,0.003092,0.05,0.42,65439
